Name	Statistic	Cells
Specimen_001_C24_C24.fcs/cells	99.7	11079
Specimen_001_C24_C24.fcs/cells/mCherry	93.6	10374
Specimen_001_D1_D01.fcs		10659
Specimen_001_D1_D01.fcs/cells	99.6	10618
Specimen_001_D1_D01.fcs/cells/mCherry	94.4	10027
Specimen_001_D2_D02.fcs		11467
Specimen_001_D2_D02.fcs/cells	99.7	11436
Specimen_001_D2_D02.fcs/cells/mCherry	93.4	10686
Specimen_001_D3_D03.fcs		13680
Specimen_001_D3_D03.fcs/cells	99.7	13639
Specimen_001_D3_D03.fcs/cells/mCherry	67.9	9263
Specimen_001_D4_D04.fcs		13263
Specimen_001_D4_D04.fcs/cells	99.7	13223
Specimen_001_D4_D04.fcs/cells/mCherry	66.4	8776
Specimen_001_D5_D05.fcs		11685
Specimen_001_D5_D05.fcs/cells	99.8	11664
Specimen_001_D5_D05.fcs/cells/mCherry	62.2	7259
Specimen_001_D6_D06.fcs		16302
Specimen_001_D6_D06.fcs/cells	99.8	16267
Specimen_001_D6_D06.fcs/cells/mCherry	61.8	10059
Specimen_001_D7_D07.fcs		9709
Specimen_001_D7_D07.fcs/cells	99.6	9668
Specimen_001_D7_D07.fcs/cells/mCherry	69.8	6745
Specimen_001_D8_D08.fcs		15675
Specimen_001_D8_D08.fcs/cells	99.8	15640
Specimen_001_D8_D08.fcs/cells/mCherry	66.3	10365
Specimen_001_D9_D09.fcs		12483
Specimen_001_D9_D09.fcs/cells	99.8	12462
Specimen_001_D9_D09.fcs/cells/mCherry	58.5	7293
Specimen_001_D10_D10.fcs		16701
Specimen_001_D10_D10.fcs/cells	99.8	16675
Specimen_001_D10_D10.fcs/cells/mCherry	57.9	9654
Specimen_001_D11_D11.fcs		10032
Specimen_001_D11_D11.fcs/cells	99.6	9995
Specimen_001_D11_D11.fcs/cells/mCherry	91.8	9180
Specimen_001_D12_D12.fcs		12711
Specimen_001_D12_D12.fcs/cells	99.7	12671
Specimen_001_D12_D12.fcs/cells/mCherry	89.8	11378
Specimen_001_D13_D13.fcs		7145
Specimen_001_D13_D13.fcs/cells	99.5	7111
Specimen_001_D13_D13.fcs/cells/mCherry	86.4	6143
Specimen_001_D14_D14.fcs		10659
Specimen_001_D14_D14.fcs/cells	99.7	10622
Specimen_001_D14_D14.fcs/cells/mCherry	83.6	8880
Specimen_001_D15_D15.fcs		9747
Specimen_001_D15_D15.fcs/cells	99.4	9685
Specimen_001_D15_D15.fcs/cells/mCherry	91.2	8833
Specimen_001_D16_D16.fcs		9737
Specimen_001_D16_D16.fcs/cells	99.8	9713
Specimen_001_D16_D16.fcs/cells/mCherry	88.4	8589
Specimen_001_D17_D17.fcs		8493
Specimen_001_D17_D17.fcs/cells	99.6	8455
Specimen_001_D17_D17.fcs/cells/mCherry	89.1	7537
Specimen_001_D18_D18.fcs		9488
Specimen_001_D18_D18.fcs/cells	99.7	9461
Specimen_001_D18_D18.fcs/cells/mCherry	86.7	8198
Specimen_001_D19_D19.fcs		8493
Specimen_001_D19_D19.fcs/cells	99.7	8466
Specimen_001_D19_D19.fcs/cells/mCherry	88.8	7522
Specimen_001_D20_D20.fcs		10773
Specimen_001_D20_D20.fcs/cells	99.7	10742
Specimen_001_D20_D20.fcs/cells/mCherry	86.1	9249
Specimen_001_D21_D21.fcs		9861
Specimen_001_D21_D21.fcs/cells	99.7	9836
Specimen_001_D21_D21.fcs/cells/mCherry	77.2	7595
Specimen_001_D22_D22.fcs		11058
Specimen_001_D22_D22.fcs/cells	99.8	11032
Specimen_001_D22_D22.fcs/cells/mCherry	74	8163
Specimen_001_D23_D23.fcs		9519
Specimen_001_D23_D23.fcs/cells	99.5	9468
Specimen_001_D23_D23.fcs/cells/mCherry	95	8994
Specimen_001_D24_D24.fcs		12369
Specimen_001_D24_D24.fcs/cells	99.6	12322
Specimen_001_D24_D24.fcs/cells/mCherry	94.2	11603
Specimen_001_E1_E01.fcs		17100
Specimen_001_E1_E01.fcs/cells	99.8	17064
Specimen_001_E1_E01.fcs/cells/mCherry	71.8	12247
Specimen_001_E2_E02.fcs		15789
Specimen_001_E2_E02.fcs/cells	99.9	15768
Specimen_001_E2_E02.fcs/cells/mCherry	66.8	10531
Specimen_001_E3_E03.fcs		12825
Specimen_001_E3_E03.fcs/cells	99.7	12788
Specimen_001_E3_E03.fcs/cells/mCherry	73.5	9404
Specimen_001_E4_E04.fcs		14022
Specimen_001_E4_E04.fcs/cells	99.8	13993
Specimen_001_E4_E04.fcs/cells/mCherry	66.4	9286
Specimen_001_E5_E05.fcs		12540
Specimen_001_E5_E05.fcs/cells	99.6	12487
Specimen_001_E5_E05.fcs/cells/mCherry	76.7	9583
Specimen_001_E6_E06.fcs		12882
Specimen_001_E6_E06.fcs/cells	99.8	12852
Specimen_001_E6_E06.fcs/cells/mCherry	70.4	9048
Specimen_001_E7_E07.fcs		10659
Specimen_001_E7_E07.fcs/cells	99.6	10618
Specimen_001_E7_E07.fcs/cells/mCherry	94.5	10030
Specimen_001_E8_E08.fcs		9576
Specimen_001_E8_E08.fcs/cells	99.5	9530
Specimen_001_E8_E08.fcs/cells/mCherry	94.1	8971
Specimen_001_E9_E09.fcs		13851
Specimen_001_E9_E09.fcs/cells	99.7	13815
Specimen_001_E9_E09.fcs/cells/mCherry	63	8709
Specimen_001_E10_E10.fcs		12711
Specimen_001_E10_E10.fcs/cells	99.8	12684
Specimen_001_E10_E10.fcs/cells/mCherry	56.8	7209
Specimen_001_E11_E11.fcs		12882
Specimen_001_E11_E11.fcs/cells	99.7	12846
Specimen_001_E11_E11.fcs/cells/mCherry	78.3	10059
Specimen_001_E12_E12.fcs		9519
Specimen_001_E12_E12.fcs/cells	99.7	9495
Specimen_001_E12_E12.fcs/cells/mCherry	75.6	7182
Specimen_001_E13_E13.fcs		11799
Specimen_001_E13_E13.fcs/cells	99.6	11750
Specimen_001_E13_E13.fcs/cells/mCherry	86.7	10183
Specimen_001_E14_E14.fcs		10203
Specimen_001_E14_E14.fcs/cells	99.7	10168
Specimen_001_E14_E14.fcs/cells/mCherry	84.6	8599
Specimen_001_E15_E15.fcs		12141
Specimen_001_E15_E15.fcs/cells	99.5	12077
Specimen_001_E15_E15.fcs/cells/mCherry	86	10386
Specimen_001_E16_E16.fcs		10089
Specimen_001_E16_E16.fcs/cells	99.7	10058
Specimen_001_E16_E16.fcs/cells/mCherry	85.3	8581
Specimen_001_E17_E17.fcs		11742
Specimen_001_E17_E17.fcs/cells	99.5	11684
Specimen_001_E17_E17.fcs/cells/mCherry	79.9	9338
Specimen_001_E18_E18.fcs		10545
Specimen_001_E18_E18.fcs/cells	99.6	10504
Specimen_001_E18_E18.fcs/cells/mCherry	79	8298
Specimen_001_E19_E19.fcs		9519
Specimen_001_E19_E19.fcs/cells	99.7	9490
Specimen_001_E19_E19.fcs/cells/mCherry	89.5	8498
Specimen_001_E20_E20.fcs		8550
Specimen_001_E20_E20.fcs/cells	99.6	8512
Specimen_001_E20_E20.fcs/cells/mCherry	89.2	7596
Specimen_001_E21_E21.fcs		10545
Specimen_001_E21_E21.fcs/cells	99.6	10501
Specimen_001_E21_E21.fcs/cells/mCherry	87.8	9219
Specimen_001_E22_E22.fcs		9291
Specimen_001_E22_E22.fcs/cells	99.6	9254
Specimen_001_E22_E22.fcs/cells/mCherry	86.4	7997
