well_id	well_id_96	well_id_96_no0	plate_id	F1_AP	F1_F1	F1_ID	F1	BLOCK_ID	PAR_ID	IS_ANC	AP1_ID	SEX	strain_id	parent
O09	H05	H5	plate1	A10	B05	G04_B05	1	1			G04_A3_H09_1	SEX	G04_B05	G04
O11	H06	H6	plate1	A10	B06	G04_B06	1	1			G04_A3_H09_1	SEX	G04_B06	G04
O13	H07	H7	plate1	A10	B07	G04_B07	1	1			G04_A3_H09_1	SEX	G04_B07	G04
O15	H08	H8	plate1	A10	B08	G04_B08	1	1			G04_A3_H09_1	SEX	G04_B08	G04
O17	H09	H9	plate1			NA_	0	1	MJM36_H3	1	NA	NA	NA	NA
O19	H10	H10	plate1			NA_	0	1	BCAL-B2	1	NA	NA	NA	NA
O21	H11	H11	plate1			NA_	0	1	BCAL-C2	1	NA	NA	NA	NA
O23	H12	H12	plate1			NA_	0	1	BLANK		NA	NA	NA	NA
A02	A01	A1	plate2	A08	C01	C04_C01	1	1			C04_A3_H02_1	SEX	C04_C01	C04
A04	A02	A2	plate2	A08	C02	C04_C02	1	1			C04_A3_H02_1	SEX	C04_C02	C04
A06	A03	A3	plate2	A08	C03	C04_C03	1	1			C04_A3_H02_1	SEX	C04_C03	C04
A08	A04	A4	plate2	A08	C04	C04_C04	1	1			C04_A3_H02_1	SEX	C04_C04	C04
A10	A05	A5	plate2	A08	C05	C04_C05	1	1			C04_A3_H02_1	SEX	C04_C05	C04
A12	A06	A6	plate2	A08	C06	C04_C06	1	1			C04_A3_H02_1	SEX	C04_C06	C04
A14	A07	A7	plate2	A08	C07	C04_C07	1	1			C04_A3_H02_1	SEX	C04_C07	C04
A16	A08	A8	plate2	A08	C08	C04_C08	1	1			C04_A3_H02_1	SEX	C04_C08	C04
A18	A09	A9	plate2			C02_	0	1	B01		C02_A3_A03_1	SEX	C02	C02
A20	A10	A10	plate2			A03_	0	1	A03		A03_A1.1_A12_1	ASEX	A03	A03
A22	A11	A11	plate2			E03_	0	1	A05		E03_A3_H03_1	SEX	E03	E03
A24	A12	A12	plate2			A04_	0	1	A07		A04_A3_G12_1	SEX	A04	A04
C02	B01	B1	plate2	E08	C01	D04_C01	1	1			D04_A1.1_H06_1	ASEX	D04_C01	D04
C04	B02	B2	plate2	E08	C02	D04_C02	1	1			D04_A1.1_H06_1	ASEX	D04_C02	D04
C06	B03	B3	plate2	E08	C03	D04_C03	1	1			D04_A1.1_H06_1	ASEX	D04_C03	D04
C08	B04	B4	plate2	E08	C04	D04_C04	1	1			D04_A1.1_H06_1	ASEX	D04_C04	D04
C10	B05	B5	plate2	E08	C05	D04_C05	1	1			D04_A1.1_H06_1	ASEX	D04_C05	D04
C12	B06	B6	plate2	E08	C06	D04_C06	1	1			D04_A1.1_H06_1	ASEX	D04_C06	D04
C14	B07	B7	plate2	E08	C07	D04_C07	1	1			D04_A1.1_H06_1	ASEX	D04_C07	D04
C16	B08	B8	plate2	E08	C08	D04_C08	1	1			D04_A1.1_H06_1	ASEX	D04_C08	D04
C18	B09	B9	plate2			D02_	0	1	F01		D02_A1.1_A05_1	ASEX	D02	D02
C20	B10	B10	plate2			C03_	0	1	A04		C03_A3_H11_1	SEX	C03	C03
C22	B11	B11	plate2			D05_	0	1	F12		D05_A1.1_C12_1	ASEX	D05	D05
C24	B12	B12	plate2			B04_	0	1	E07		B04_A1.1_A02_1	ASEX	B04	B04
E02	C01	C1	plate2	A10	C01	G04_C01	1	1			G04_A3_H09_1	SEX	G04_C01	G04
E04	C02	C2	plate2	A10	C02	G04_C02	1	1			G04_A3_H09_1	SEX	G04_C02	G04
E06	C03	C3	plate2	A10	C03	G04_C03	1	1			G04_A3_H09_1	SEX	G04_C03	G04
E08	C04	C4	plate2	A10	C04	G04_C04	1	1			G04_A3_H09_1	SEX	G04_C04	G04
E10	C05	C5	plate2	A10	C05	G04_C05	1	1			G04_A3_H09_1	SEX	G04_C05	G04
E12	C06	C6	plate2	A10	C06	G04_C06	1	1			G04_A3_H09_1	SEX	G04_C06	G04
E14	C07	C7	plate2	A10	C07	G04_C07	1	1			G04_A3_H09_1	SEX	G04_C07	G04
E16	C08	C8	plate2	A10	C08	G04_C08	1	1			G04_A3_H09_1	SEX	G04_C08	G04
E18	C09	C9	plate2			F02_	0	1	A02		F02_A1.1_A11_1	ASEX	F02	F02
E20	C10	C10	plate2			D03_	0	1	E04		D03_A3_B12_1	SEX	D03	D03
E22	C11	C11	plate2			A06_	0	1	C06		A06_A3_H07_1	SEX	A06	A06
E24	C12	C12	plate2			C04_	0	1	A08		C04_A3_H02_1	SEX	C04	C04
G02	D01	D1	plate2	F12	C01	D05_C01	1	1			D05_A1.1_C12_1	ASEX	D05_C01	D05
G04	D02	D2	plate2	F12	C02	D05_C02	1	1			D05_A1.1_C12_1	ASEX	D05_C02	D05
G06	D03	D3	plate2	F12	C03	D05_C03	1	1			D05_A1.1_C12_1	ASEX	D05_C03	D05
G08	D04	D4	plate2	F12	C04	D05_C04	1	1			D05_A1.1_C12_1	ASEX	D05_C04	D05
G10	D05	D5	plate2	F12	C05	D05_C05	1	1			D05_A1.1_C12_1	ASEX	D05_C05	D05
G12	D06	D6	plate2	F12	C06	D05_C06	1	1			D05_A1.1_C12_1	ASEX	D05_C06	D05
G14	D07	D7	plate2	F12	C07	D05_C07	1	1			D05_A1.1_C12_1	ASEX	D05_C07	D05
G16	D08	D8	plate2	F12	C08	D05_C08	1	1			D05_A1.1_C12_1	ASEX	D05_C08	D05
G18	D09	D9	plate2			G02_	0	1	E02		G02_A1.1_H02_1	ASEX	G02	G02
G20	D10	D10	plate2			H05_	0	1	G04		H05_A1.1_D12_1	ASEX	H05	H05
G22	D11	D11	plate2			G03_	0	1	E06		G03_A1.1_B12_1	ASEX	G03	G03
G24	D12	D12	plate2			D06_	0	1	C08		D06_A1.1_H11_1	ASEX	D06	D06
I02	E01	E1	plate2	A08	D01	C04_D01	1	1			C04_A3_H02_1	SEX	C04_D01	C04
I04	E02	E2	plate2	A08	D02	C04_D02	1	1			C04_A3_H02_1	SEX	C04_D02	C04
I06	E03	E3	plate2	A08	D03	C04_D03	1	1			C04_A3_H02_1	SEX	C04_D03	C04
I08	E04	E4	plate2	A08	D04	C04_D04	1	1			C04_A3_H02_1	SEX	C04_D04	C04
I10	E05	E5	plate2	A08	D05	C04_D05	1	1			C04_A3_H02_1	SEX	C04_D05	C04
I12	E06	E6	plate2	A08	D06	C04_D06	1	1			C04_A3_H02_1	SEX	C04_D06	C04
I14	E07	E7	plate2	A08	D07	C04_D07	1	1			C04_A3_H02_1	SEX	C04_D07	C04
I16	E08	E8	plate2	A08	D08	C04_D08	1	1			C04_A3_H02_1	SEX	C04_D08	C04
I18	E09	E9	plate2			NA_	0	1	MJM36_G3	1	NA	NA	NA	NA
I20	E10	E10	plate2			NA_	0	1	BCAL-B1	1	NA	NA	NA	NA
I22	E11	E11	plate2			NA_	0	1	BCAL-C1	1	NA	NA	NA	NA
I24	E12	E12	plate2			NA_	0	1	MJM36_C5	1	NA	NA	NA	NA
K02	F01	F1	plate2	E08	D01	D04_D01	1	1			D04_A1.1_H06_1	ASEX	D04_D01	D04
K04	F02	F2	plate2	E08	D02	D04_D02	1	1			D04_A1.1_H06_1	ASEX	D04_D02	D04
K06	F03	F3	plate2	E08	D03	D04_D03	1	1			D04_A1.1_H06_1	ASEX	D04_D03	D04
