well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
D01,B01,B1,plate3,B,01,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,13596,5044,11260,5970
D02,B01,B1,plate4,B,01,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8630,4298,10126,7873
D03,B02,B2,plate3,B,02,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,9149,2980,10065,5010
D04,B02,B2,plate4,B,02,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8489,3000,11339,6246
D05,B03,B3,plate3,B,03,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,14346,5367,10149,6394
D06,B03,B3,plate4,B,03,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,7175,2805,7622,4389
D07,B04,B4,plate3,B,04,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9294,3729,9043,5425
D08,B04,B4,plate4,B,04,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,9464,2924,7476,3567
D09,B05,B5,plate3,B,05,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8498,3575,8787,5694
D10,B05,B5,plate4,B,05,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,8290,2364,7689,3944
D11,B06,B6,plate3,B,06,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,9407,3357,10403,6133
D12,B06,B6,plate4,B,06,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,6139,2254,7037,4234
D13,B07,B7,plate3,B,07,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,10317,3364,9168,5255
D14,B07,B7,plate4,B,07,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,9839,3084,7895,4396
D15,B08,B8,plate3,B,08,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,6299,2600,7838,4511
D16,B08,B8,plate4,B,08,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,7780,4013,8988,7034
D17,B09,B9,plate3,B,09,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,9956,3195,8908,4978
D18,B09,B9,plate4,B,09,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,6487,2717,8692,6088
D19,B10,B10,plate3,B,10,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,7769,2396,9796,5086
D20,B10,B10,plate4,B,10,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,8532,2569,8262,4030
D21,B11,B11,plate3,B,11,A04_a3_G12_1,0,1,0,env3,a3_G12,G12,8766,1798,9638,3747
D22,B11,B11,plate4,B,11,A04_a3_G12_1,0,1,0,env3,a3_G12,G12,5267,789,6848,2029
D23,B12,B12,plate3,B,12,A04_a3_G12_1,0,1,0,env3,a3_G12,G12,9373,1547,8249,2832
D24,B12,B12,plate4,B,12,A04_a3_G12_1,0,1,0,env3,a3_G12,G12,5685,697,6339,1539
E01,C01,C1,plate1,C,01,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,23150,11569,15996,10771
E02,C01,C1,plate2,C,01,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,17050,7379,11774,6937
E03,C02,C2,plate1,C,02,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,11336,4723,11779,7677
E04,C02,C2,plate2,C,02,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,8776,3359,11077,6129
E05,C03,C3,plate1,C,03,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,16533,6139,11592,7022
E06,C03,C3,plate2,C,03,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,8805,3894,9475,6236
E07,C04,C4,plate1,C,04,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,4843,2745,9901,7516
E08,C04,C4,plate2,C,04,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,9928,2921,10327,5150
E09,C05,C5,plate1,C,05,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,9824,3714,11150,6611
E10,C05,C5,plate2,C,05,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,9658,2890,8852,4613
E11,C06,C6,plate1,C,06,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,14220,7114,10177,7601
E12,C06,C6,plate2,C,06,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,10291,4270,9188,5867
E13,C07,C7,plate1,C,07,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,15320,7304,10729,7753
E14,C07,C7,plate2,C,07,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8558,4547,10164,8503
E15,C08,C8,plate1,C,08,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,10495,6577,12469,11059
E16,C08,C8,plate2,C,08,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,9102,3142,10238,5434
E17,C09,C9,plate1,C,09,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8124,3345,9175,6108
E18,C09,C9,plate2,C,09,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,8699,3351,11062,6888
E19,C10,C10,plate1,C,10,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,9318,4653,10774,7754
E20,C10,C10,plate2,C,10,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,10909,4216,9041,5585
E21,C11,C11,plate1,C,11,A06_a3_H07_1,0,1,0,env3,a3_H07,H07,10036,4162,9129,5382
E22,C11,C11,plate2,C,11,A06_a3_H07_1,0,1,0,env3,a3_H07,H07,7550,2198,7226,3525
E23,C12,C12,plate1,C,12,A06_a3_H07_1,0,1,0,env3,a3_H07,H07,10241,4093,9126,5184
E24,C12,C12,plate2,C,12,A06_a3_H07_1,0,1,0,env3,a3_H07,H07,6488,1639,6844,2973
F01,C01,C1,plate3,C,01,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,9721,5596,12031,9492
F02,C01,C1,plate4,C,01,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,18472,7832,22618,14063
F03,C02,C2,plate3,C,02,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,11574,5304,8662,6357
F04,C02,C2,plate4,C,02,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,10668,5231,11431,8645
F05,C03,C3,plate3,C,03,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,11093,3681,9176,4769
F06,C03,C3,plate4,C,03,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9859,3407,8652,4891
F07,C04,C4,plate3,C,04,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,13897,5453,8750,5709
F08,C04,C4,plate4,C,04,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,10046,2803,7330,3731
F09,C05,C5,plate3,C,05,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9014,4105,10025,7473
F10,C05,C5,plate4,C,05,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,6254,4111,9255,8240
F11,C06,C6,plate3,C,06,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,11994,4079,8798,4611
F12,C06,C6,plate4,C,06,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,8729,2470,7959,4044
F13,C07,C7,plate3,C,07,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,10390,3307,9254,5446
F14,C07,C7,plate4,C,07,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,7948,2759,6339,3328
F15,C08,C8,plate3,C,08,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,6672,2543,7532,4242
F16,C08,C8,plate4,C,08,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,9907,4612,9003,6802
F17,C09,C9,plate3,C,09,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,9572,2477,8558,4203
