well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
E08,C04,C4,plate2,C,04,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,15394,12273,18404,13716
E09,C05,C5,plate1,C,05,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,20898,16580,18146,13276
E10,C05,C5,plate2,C,05,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,14792,11302,16426,11677
E11,C06,C6,plate1,C,06,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,19092,13293,17888,9028
E12,C06,C6,plate2,C,06,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,17888,14207,16856,12803
E13,C07,C7,plate1,C,07,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,21156,15508,15738,9315
E14,C07,C7,plate2,C,07,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16340,12287,16082,9647
E15,C08,C8,plate1,C,08,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,19350,13588,15996,8027
E16,C08,C8,plate2,C,08,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,20468,16876,19178,14857
E17,C09,C9,plate1,C,09,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,19866,15502,16426,11997
E18,C09,C9,plate2,C,09,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,18920,15400,19006,14332
E19,C10,C10,plate1,C,10,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,18146,12610,17028,9173
E20,C10,C10,plate2,C,10,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16168,13064,18318,13592
E21,C11,C11,plate1,C,11,A06_a3_H07_1,0,1,0,YPD,a3_H07,H07,14034,9832,14276,8923
E22,C11,C11,plate2,C,11,A06_a3_H07_1,0,1,0,YPD,a3_H07,H07,14190,11409,14534,10333
E23,C12,C12,plate1,C,12,A06_a3_H07_1,0,1,0,YPD,a3_H07,H07,14534,10367,15136,9248
E24,C12,C12,plate2,C,12,A06_a3_H07_1,0,1,0,YPD,a3_H07,H07,14448,12013,17458,11946
F01,C01,C1,plate3,C,01,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,19608,12881,21500,9892
F02,C01,C1,plate4,C,01,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,19092,15335,19694,14762
F03,C02,C2,plate3,C,02,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,11230,7300,8361,3818
F04,C02,C2,plate4,C,02,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16340,12227,17114,11616
F05,C03,C3,plate3,C,03,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,15910,12693,17716,13808
F06,C03,C3,plate4,C,03,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,17200,14283,18662,14293
F07,C04,C4,plate3,C,04,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,14104,10893,14964,11189
F08,C04,C4,plate4,C,04,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,15910,13730,17888,15108
F09,C05,C5,plate3,C,05,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,13932,10510,14792,10491
F10,C05,C5,plate4,C,05,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,8990,4337,11421,2364
F11,C06,C6,plate3,C,06,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,16684,13766,17544,14474
F12,C06,C6,plate4,C,06,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,17888,15764,17544,15070
F13,C07,C7,plate3,C,07,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,16512,13859,18146,14893
F14,C07,C7,plate4,C,07,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,12470,10079,13587,10464
F15,C08,C8,plate3,C,08,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,11953,9538,12466,9126
F16,C08,C8,plate4,C,08,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,17286,13393,16684,10702
F17,C09,C9,plate3,C,09,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,17716,15211,18834,15916
F18,C09,C9,plate4,C,09,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,16426,13959,17544,14079
F19,C10,C10,plate3,C,10,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,15136,12748,17716,14107
