well_id	sample_id	fact	name_long	cells	dark
F24	C05_A1.1_A09_2	NaCl_B	Specimen_003_F24_F24_364.fcs	22500	10064
G01	BLANK	pH7.3_A	Specimen_002_G1_G01_333.fcs	17	9
G02	BLANK	pH7.3_B	Specimen_002_G2_G02_334.fcs	25	15
G03	E05_A1.1_H01_2	pH7.3_A	Specimen_001_G3_G03_121.fcs	18178	10071
G04	E05_A1.1_H01_2	pH7.3_B	Specimen_001_G4_G04_122.fcs	8890	5616
G05	MJM64_MATa	pH7.3_A	Specimen_001_G5_G05_123.fcs	22500	20851
G06	MJM64_MATa	pH7.3_B	Specimen_001_G6_G06_124.fcs	22500	21159
G07	G05_A1.1_E12_2	pH7.3_A	Specimen_001_G7_G07_125.fcs	12467	6655
G08	G05_A1.1_E12_2	pH7.3_B	Specimen_001_G8_G08_126.fcs	15275	7938
G09	MJM36_MATalpha	pH7.3_A	Specimen_001_G9_G09_127.fcs	13325	5590
G10	MJM36_MATalpha	pH7.3_B	Specimen_001_G10_G10_128.fcs	10781	4349
G11	A06_A3_H07_2	pH7.3_A	Specimen_001_G11_G11_129.fcs	12085	7209
G12	A06_A3_H07_2	pH7.3_B	Specimen_001_G12_G12_130.fcs	11402	7078
G13	MJM64_MATa	pH7.3_A	Specimen_001_G13_G13_131.fcs	22500	21026
G14	MJM64_MATa	pH7.3_B	Specimen_001_G14_G14_132.fcs	22500	21099
G15	D06_A1.1_H11_2	pH7.3_A	Specimen_001_G15_G15_133.fcs	12831	7798
G16	D06_A1.1_H11_2	pH7.3_B	Specimen_001_G16_G16_134.fcs	14235	9232
G17	MJM36_MATalpha	pH7.3_A	Specimen_001_G17_G17_135.fcs	10985	5942
G18	MJM36_MATalpha	pH7.3_B	Specimen_001_G18_G18_136.fcs	8021	4684
G19	F06_A3_A11_2	pH7.3_A	Specimen_001_G19_G19_137.fcs	12759	8083
G20	F06_A3_A11_2	pH7.3_B	Specimen_001_G20_G20_138.fcs	9971	6707
G21	REF	pH7.3_A	Specimen_001_G21_G21_139.fcs	9602	38
G22	REF	pH7.3_B	Specimen_001_G22_G22_140.fcs	11623	30
G23	REF	pH7.3_A	Specimen_003_G23_G23_365.fcs	21320	53
G24	REF	pH7.3_B	Specimen_003_G24_G24_366.fcs	13650	20
H01	BLANK	NaCl_A	Specimen_002_H1_H01_335.fcs	5	2
