Name	Statistic	Cells
Specimen_001_E11_E11.fcs/mCherry	73.7	4188
Specimen_001_E12_E12.fcs		4590
Specimen_001_E12_E12.fcs/mCherry	74.8	3435
Specimen_001_E13_E13.fcs		6903
Specimen_001_E13_E13.fcs/mCherry	74.6	5149
Specimen_001_E14_E14.fcs		4401
Specimen_001_E14_E14.fcs/mCherry	74.8	3291
Specimen_001_E15_E15.fcs		8084
Specimen_001_E15_E15.fcs/mCherry	66.2	5355
Specimen_001_E16_E16.fcs		5525
Specimen_001_E16_E16.fcs/mCherry	67.2	3712
Specimen_001_E17_E17.fcs		7755
Specimen_001_E17_E17.fcs/mCherry	46.2	3585
Specimen_001_E18_E18.fcs		6294
Specimen_001_E18_E18.fcs/mCherry	43	2709
Specimen_001_E19_E19.fcs		7561
Specimen_001_E19_E19.fcs/mCherry	42	3172
Specimen_001_E20_E20.fcs		6331
Specimen_001_E20_E20.fcs/mCherry	39.7	2514
Specimen_001_E21_E21.fcs		7567
Specimen_001_E21_E21.fcs/mCherry	54.4	4117
Specimen_001_E22_E22.fcs		1779
Specimen_001_E22_E22.fcs/mCherry	56.2	1000
Specimen_001_F3_F03.fcs		13630
Specimen_001_F3_F03.fcs/mCherry	59.4	8092
Specimen_001_F4_F04.fcs		14053
Specimen_001_F4_F04.fcs/mCherry	58.2	8177
Specimen_001_F5_F05.fcs		13066
Specimen_001_F5_F05.fcs/mCherry	58.7	7665
Specimen_001_F6_F06.fcs		12925
Specimen_001_F6_F06.fcs/mCherry	57.3	7407
Specimen_001_F7_F07.fcs		12878
Specimen_001_F7_F07.fcs/mCherry	54.9	7065
Specimen_001_F8_F08.fcs		14241
Specimen_001_F8_F08.fcs/mCherry	52.2	7430
Specimen_001_F9_F09.fcs		14570
Specimen_001_F9_F09.fcs/mCherry	70.4	10261
Specimen_001_F10_F10.fcs		15510
Specimen_001_F10_F10.fcs/mCherry	68.5	10618
Specimen_001_F11_F11.fcs		14523
Specimen_001_F11_F11.fcs/mCherry	62	9010
Specimen_001_F12_F12.fcs		15745
Specimen_001_F12_F12.fcs/mCherry	68	10702
Specimen_001_F13_F13.fcs		13019
Specimen_001_F13_F13.fcs/mCherry	66.4	8650
