"","sample_id","env","regime","anc","ref","kk_pop_id","fitness_gain_avg","fitness_gain_sd"
"114","C04_a3_H02_1","YPD","sexual",0,0,"a3_H02",0.0160969809869773,0.0071806737150188
"115","C04_a3_H02_2","lowP","sexual",0,0,"a3_H02",0.0117680144195933,0.00582643272741392
"116","C04_a3_H02_2","SC_0.2M_NaCl","sexual",0,0,"a3_H02",0.0159799174166377,0.000439888923908972
"117","C04_a3_H02_2","SC_pH7.3","sexual",0,0,"a3_H02",0.0817831591320714,0.014597135673136
"118","C04_a3_H02_2","SC30C","sexual",0,0,"a3_H02",-0.00936761999478294,0.00239540228247938
"119","C04_a3_H02_2","SC37C","sexual",0,0,"a3_H02",0.00815785659239165,0.0160044964218981
"120","C04_a3_H02_2","YPD","sexual",0,0,"a3_H02",0.0154234379253162,0.00589858574793952
"121","C05_a1.1_A09_1","lowP","asexual",0,0,"a1.1_A09",-0.0924070305429937,0.0106594678918441
"122","C05_a1.1_A09_1","SC_0.2M_NaCl","asexual",0,0,"a1.1_A09",-0.0214828043681444,0.0199343427110608
"123","C05_a1.1_A09_1","SC_pH7.3","asexual",0,0,"a1.1_A09",-0.0507397298940366,0.00177391984163191
"124","C05_a1.1_A09_1","SC30C","asexual",0,0,"a1.1_A09",-0.0633095207240048,0.0175955055264814
"125","C05_a1.1_A09_1","SC37C","asexual",0,0,"a1.1_A09",-0.0637135919095073,0.00761904317740881
"126","C05_a1.1_A09_1","YPD","asexual",0,0,"a1.1_A09",-0.00222801900352646,0.00824800931264212
"127","C05_a1.1_A09_2","lowP","asexual",0,0,"a1.1_A09",-0.0876661068569052,0.00343062557678795
"128","C05_a1.1_A09_2","SC_0.2M_NaCl","asexual",0,0,"a1.1_A09",-0.0316491456165524,0.0440464237161657
"129","C05_a1.1_A09_2","SC_pH7.3","asexual",0,0,"a1.1_A09",-0.029856398714199,0.0232031749373258
"130","C05_a1.1_A09_2","SC30C","asexual",0,0,"a1.1_A09",-0.0433539564473319,0.0312169470117425
"131","C05_a1.1_A09_2","SC37C","asexual",0,0,"a1.1_A09",-0.0646597332770588,0.00694801043913513
"132","C05_a1.1_A09_2","YPD","asexual",0,0,"a1.1_A09",0.0119170233053151,0.0111604395151661
"133","C06_a1.1_A10_1","lowP","asexual",0,0,"a1.1_A10",-0.11213238125474,0.0482120603767112
"134","C06_a1.1_A10_1","SC_0.2M_NaCl","asexual",0,0,"a1.1_A10",-0.0751873929031959,0.0404415434177246
"135","C06_a1.1_A10_1","SC_pH7.3","asexual",0,0,"a1.1_A10",0.0105989064441337,0.00567031100201365
"136","C06_a1.1_A10_1","SC30C","asexual",0,0,"a1.1_A10",-0.135391197708224,0.0168895037248641
"137","C06_a1.1_A10_1","SC37C","asexual",0,0,"a1.1_A10",-0.0797685530118433,0.0305600638379866
"138","C06_a1.1_A10_1","YPD","asexual",0,0,"a1.1_A10",-0.025164236837811,0.00678160828442461
"139","C06_a1.1_A10_2","lowP","asexual",0,0,"a1.1_A10",-0.11381469170331,0.013239623825634
"140","C06_a1.1_A10_2","SC_0.2M_NaCl","asexual",0,0,"a1.1_A10",-0.0226327996101714,0.0135579004007983
"141","C06_a1.1_A10_2","SC_pH7.3","asexual",0,0,"a1.1_A10",0.0184422913394408,0.0149183716880925
"142","C06_a1.1_A10_2","SC30C","asexual",0,0,"a1.1_A10",-0.10810837614158,0.0107318771507314
"143","C06_a1.1_A10_2","SC37C","asexual",0,0,"a1.1_A10",-0.101214868568875,0.0293732397918804
"144","C06_a1.1_A10_2","YPD","asexual",0,0,"a1.1_A10",-0.0265190059803345,0.000335009409995339
"145","D02_a1.1_A05_1","lowP","asexual",0,0,"a1.1_A05",-0.103016098553978,0.01104579490387
"146","D02_a1.1_A05_1","SC_0.2M_NaCl","asexual",0,0,"a1.1_A05",-0.0169460311042699,0.00966242672205926
"147","D02_a1.1_A05_1","SC_pH7.3","asexual",0,0,"a1.1_A05",0.0699785538939547,0.00203318000799586
"148","D02_a1.1_A05_1","SC30C","asexual",0,0,"a1.1_A05",-0.0522315291218163,0.0175222128351056
"149","D02_a1.1_A05_1","SC37C","asexual",0,0,"a1.1_A05",-0.0291157482257084,0.00878346692475324
"150","D02_a1.1_A05_1","YPD","asexual",0,0,"a1.1_A05",-0.00488194600276871,0.00183949553012353
"151","D02_a1.1_A05_2","lowP","asexual",0,0,"a1.1_A05",-0.376564903814253,0.00319941567123285
"152","D02_a1.1_A05_2","SC_0.2M_NaCl","asexual",0,0,"a1.1_A05",-0.00600570901019441,0.010599445813925
"153","D02_a1.1_A05_2","SC_pH7.3","asexual",0,0,"a1.1_A05",0.0613086551278168,0.00907514374819249
"154","D02_a1.1_A05_2","SC30C","asexual",0,0,"a1.1_A05",-0.0307100343324933,0.0189015669549464
"155","D02_a1.1_A05_2","SC37C","asexual",0,0,"a1.1_A05",-0.0836104061055368,0.0056626173264813
"156","D02_a1.1_A05_2","YPD","asexual",0,0,"a1.1_A05",-0.00717345910287856,0.00203514138324224
"157","D03_a3_B12_1","lowP","sexual",0,0,"a3_B12",0.0108639845370665,0.00335303321906076
"158","D03_a3_B12_1","SC_0.2M_NaCl","sexual",0,0,"a3_B12",-0.0017134985352809,0.00607795695423176
"159","D03_a3_B12_1","SC_pH7.3","sexual",0,0,"a3_B12",0.0874921072708054,0.0138201385610203
"160","D03_a3_B12_1","SC30C","sexual",0,0,"a3_B12",-0.0285776713338703,0.00186095997516208
"161","D03_a3_B12_1","SC37C","sexual",0,0,"a3_B12",0.0127334863927378,0.0437927771248263
"162","D03_a3_B12_1","YPD","sexual",0,0,"a3_B12",0.000213587844761991,0.00262619725999049
"163","D03_a3_B12_2","lowP","sexual",0,0,"a3_B12",0.000710654297624043,0.00378847861728566
"164","D03_a3_B12_2","SC_0.2M_NaCl","sexual",0,0,"a3_B12",0.0156871553283985,0.00404820682886286
"165","D03_a3_B12_2","SC_pH7.3","sexual",0,0,"a3_B12",0.0822474927616908,0.0037403284020893
"166","D03_a3_B12_2","SC30C","sexual",0,0,"a3_B12",-0.0380027004608558,0.0156038179368213
"167","D03_a3_B12_2","SC37C","sexual",0,0,"a3_B12",0.0381414759794219,0.0181218321445248
"168","D03_a3_B12_2","YPD","sexual",0,0,"a3_B12",0.00854946510294049,0.00285808496099562
"169","D04_a1.1_H06_1","lowP","asexual",0,0,"a1.1_H06",-0.110024094969677,0.0149072105353581
"170","D04_a1.1_H06_1","SC_0.2M_NaCl","asexual",0,0,"a1.1_H06",-0.0819836357617739,0.0119661291409572
"171","D04_a1.1_H06_1","SC_pH7.3","asexual",0,0,"a1.1_H06",-0.0247235330552036,0.00190439485689567
"172","D04_a1.1_H06_1","SC30C","asexual",0,0,"a1.1_H06",-0.142381945431019,0.0197327089857579
"173","D04_a1.1_H06_1","SC37C","asexual",0,0,"a1.1_H06",-0.111061712830364,0.0275646668257153
"174","D04_a1.1_H06_1","YPD","asexual",0,0,"a1.1_H06",-0.030582687250412,0.00203742096972258
"175","D04_a1.1_H06_2","lowP","asexual",0,0,"a1.1_H06",-0.0914567343525012,0.00479217204179634
"176","D04_a1.1_H06_2","SC_0.2M_NaCl","asexual",0,0,"a1.1_H06",-0.0260781058467899,0.000362061644554144
"177","D04_a1.1_H06_2","SC_pH7.3","asexual",0,0,"a1.1_H06",0.0210966656486252,0.00155003262802232
"178","D04_a1.1_H06_2","SC30C","asexual",0,0,"a1.1_H06",-0.0865320065158863,0.00794256981714405
"179","D04_a1.1_H06_2","SC37C","asexual",0,0,"a1.1_H06",-0.0950588297483523,0.00219016690739712
"180","D04_a1.1_H06_2","YPD","asexual",0,0,"a1.1_H06",-0.023835181637132,0.00796727904267155
"181","D05_a1.1_C12_1","lowP","asexual",0,0,"a1.1_C12",-0.0432849846268404,0.00311395316418713
"182","D05_a1.1_C12_1","SC_0.2M_NaCl","asexual",0,0,"a1.1_C12",0.0137805553651352,0.0201492825868098
"183","D05_a1.1_C12_1","SC_pH7.3","asexual",0,0,"a1.1_C12",0.0513270363078241,0.00437898572828253
"184","D05_a1.1_C12_1","SC30C","asexual",0,0,"a1.1_C12",-0.0429834288675433,0.00483099506222335
"185","D05_a1.1_C12_1","SC37C","asexual",0,0,"a1.1_C12",-0.0965721622870533,0.00058076447794315
"186","D05_a1.1_C12_1","YPD","asexual",0,0,"a1.1_C12",-0.00333996982011131,0.00228303148968094
"187","D05_a1.1_C12_2","lowP","asexual",0,0,"a1.1_C12",-0.0494036253112591,0.00852968692932734
"188","D05_a1.1_C12_2","SC_0.2M_NaCl","asexual",0,0,"a1.1_C12",0.0070029621852321,0.0100656385237862
"189","D05_a1.1_C12_2","SC_pH7.3","asexual",0,0,"a1.1_C12",-0.00235158713846706,0.000288722421826027
"190","D05_a1.1_C12_2","SC30C","asexual",0,0,"a1.1_C12",-0.0489536745516918,0.000663553525586773
"191","D05_a1.1_C12_2","SC37C","asexual",0,0,"a1.1_C12",-0.0817161138263003,0.000586965997366619
"192","D05_a1.1_C12_2","YPD","asexual",0,0,"a1.1_C12",-0.00526996432224911,0.0021838145178833
"193","D06_a1.1_H11_1","lowP","asexual",0,0,"a1.1_H11",-0.0234725765856825,0.0138347510219338
"194","D06_a1.1_H11_1","SC_0.2M_NaCl","asexual",0,0,"a1.1_H11",0.0259817606833057,0.00576172298046503
"195","D06_a1.1_H11_1","SC_pH7.3","asexual",0,0,"a1.1_H11",0.0705533938292457,0.0198571954103796
"196","D06_a1.1_H11_1","SC30C","asexual",0,0,"a1.1_H11",-0.0231629376038349,0.00109959213822924
"197","D06_a1.1_H11_1","SC37C","asexual",0,0,"a1.1_H11",-0.0219035706677703,0.0105212472275646
"198","D06_a1.1_H11_1","YPD","asexual",0,0,"a1.1_H11",0.00597120365229194,0.00210714951965275
"199","D06_a1.1_H11_2","lowP","asexual",0,0,"a1.1_H11",-0.0180502092418142,0.00395471644091175
"200","D06_a1.1_H11_2","SC_0.2M_NaCl","asexual",0,0,"a1.1_H11",0.0069611076460761,0.00910212208902185
"201","D06_a1.1_H11_2","SC_pH7.3","asexual",0,0,"a1.1_H11",0.0592656677361743,0.0126902073055124
"202","D06_a1.1_H11_2","SC30C","asexual",0,0,"a1.1_H11",-0.019702909472494,0.000124688444483153
"203","D06_a1.1_H11_2","SC37C","asexual",0,0,"a1.1_H11",-0.0161480047417741,0.0114319485738846
"204","D06_a1.1_H11_2","YPD","asexual",0,0,"a1.1_H11",-0.00942109436498451,0.000429738885359131
"205","E03_a3_H03_1","lowP","sexual",0,0,"a3_H03",-0.0469103753191794,0.0126308192473992
"206","E03_a3_H03_1","SC_0.2M_NaCl","sexual",0,0,"a3_H03",0.0124815323272153,0.0140589149405701
"207","E03_a3_H03_1","SC_pH7.3","sexual",0,0,"a3_H03",0.0683071608790668,0.0169646737972271
"208","E03_a3_H03_1","SC30C","sexual",0,0,"a3_H03",-0.0303651848024593,0.000754661843000152
"209","E03_a3_H03_1","SC37C","sexual",0,0,"a3_H03",-0.0152209908562255,0.00620981103370404
"210","E03_a3_H03_1","YPD","sexual",0,0,"a3_H03",0.0170039178321108,0.000273644342903156
"211","E03_a3_H03_2","lowP","sexual",0,0,"a3_H03",-0.0326647542027861,0.000752242387173622
"212","E03_a3_H03_2","SC_0.2M_NaCl","sexual",0,0,"a3_H03",0.0030940297707936,0.00799576524563084
"213","E03_a3_H03_2","SC_pH7.3","sexual",0,0,"a3_H03",0.0817780579772545,0.0189486553146754
"214","E03_a3_H03_2","SC30C","sexual",0,0,"a3_H03",-0.025111687614154,0.013153414594462
"215","E03_a3_H03_2","SC37C","sexual",0,0,"a3_H03",0.00392433198970075,0.0173841127396376
"216","E03_a3_H03_2","YPD","sexual",0,0,"a3_H03",0.017121798823596,0.000714561392365772
"217","E04_a3_G01_1","lowP","sexual",0,0,"a3_G01",0.0200723719226376,0.00380192651979643
"218","E04_a3_G01_1","SC_0.2M_NaCl","sexual",0,0,"a3_G01",-0.0084472003310664,0.00553618484311205
"219","E04_a3_G01_1","SC_pH7.3","sexual",0,0,"a3_G01",0.0679832043939003,0.0170248721244946
"220","E04_a3_G01_1","SC30C","sexual",0,0,"a3_G01",-0.0082963667969745,0.0098741948669442
"221","E04_a3_G01_1","SC37C","sexual",0,0,"a3_G01",0.00626517884338466,0.0154612532295528
"222","E04_a3_G01_1","YPD","sexual",0,0,"a3_G01",0.0120578547025632,0.00577862352973026
"223","E04_a3_G01_2","lowP","sexual",0,0,"a3_G01",0.015919801630573,0.00496324525459698
