clone_id,env,regime,anc,ref,kk_pop_id,fitness_gain_avg,fitness_gain_sd,env_group_mean,mc_gain,multi_count,single_count,tot_hits,pop_id
B03_A3_H06_1,SC30C,sexual,0,0,a3_H06,-0.0108073740284044,0.0044470477001254,-0.016458419381894417,0.005651045353490017,9,13,22,B03_A3_H06
B03_A3_H06_1,SC37C,sexual,0,0,a3_H06,0.0248049954501374,0.0085855233659081,0.013476052238255685,0.011328943211881715,9,13,22,B03_A3_H06
B03_A3_H06_1,YPD,sexual,0,0,a3_H06,0.0014622758583262,0.0020326892273447,0.006513714805136206,-0.005051438946810006,9,13,22,B03_A3_H06
B03_A3_H06_2,lowP,sexual,0,0,a3_H06,-0.0059135111373755,0.0058479199550043,0.004241308982132484,-0.010154820119507984,4,11,15,B03_A3_H06
B03_A3_H06_2,SC_0.2M_NaCl,sexual,0,0,a3_H06,0.0111574310842446,0.0038527197205113,0.012973845153084822,-0.0018164140688402223,4,11,15,B03_A3_H06
B03_A3_H06_2,SC_pH7.3,sexual,0,0,a3_H06,0.0997134108386609,0.0196984695096162,0.08577456353872868,0.013938847299932222,4,11,15,B03_A3_H06
B03_A3_H06_2,SC30C,sexual,0,0,a3_H06,-0.0177841496229374,0.0016114852434471,-0.016458419381894417,-0.0013257302410429814,4,11,15,B03_A3_H06
B03_A3_H06_2,SC37C,sexual,0,0,a3_H06,0.0094653309035673,0.019823266641535,0.013476052238255685,-0.004010721334688385,4,11,15,B03_A3_H06
B03_A3_H06_2,YPD,sexual,0,0,a3_H06,0.0001933380046812,0.0032595750572427,0.006513714805136206,-0.006320376800455006,4,11,15,B03_A3_H06
B04_A1.1_A02_1,lowP,asexual,0,0,a1.1_A02,-0.0129061103433384,0.0148774641871656,-0.06593941004154427,0.053033299698205874,15,24,39,B04_A1.1_A02
B04_A1.1_A02_1,SC_0.2M_NaCl,asexual,0,0,a1.1_A02,-0.0090013496584739,0.0076833433423352,-0.021914136913430138,0.012912787254956239,15,24,39,B04_A1.1_A02
B04_A1.1_A02_1,SC_pH7.3,asexual,0,0,a1.1_A02,0.0881516426375009,0.0134197688364346,0.029968819668503028,0.05818282296899788,15,24,39,B04_A1.1_A02
B04_A1.1_A02_1,SC30C,asexual,0,0,a1.1_A02,-0.0277224045614373,0.0066318064087282,-0.05714336091062842,0.02942095634919112,15,24,39,B04_A1.1_A02
B04_A1.1_A02_1,SC37C,asexual,0,0,a1.1_A02,-0.0103413416134975,0.0033768102688381,-0.06669518684995192,0.05635384523645442,15,24,39,B04_A1.1_A02
B04_A1.1_A02_1,YPD,asexual,0,0,a1.1_A02,-0.0035956260091157,0.0014144373800873,-0.007296789617243259,0.0037011636081275587,15,24,39,B04_A1.1_A02
B04_A1.1_A02_2,lowP,asexual,0,0,a1.1_A02,0.0054387279691967,0.0043989287272274,-0.06593941004154427,0.07137813801074097,7,20,27,B04_A1.1_A02
B04_A1.1_A02_2,SC_0.2M_NaCl,asexual,0,0,a1.1_A02,0.0088673474095346,0.0038544500330419,-0.021914136913430138,0.030781484322964736,7,20,27,B04_A1.1_A02
B04_A1.1_A02_2,SC_pH7.3,asexual,0,0,a1.1_A02,0.0815389633869831,0.0113923731558592,0.029968819668503028,0.05157014371848008,7,20,27,B04_A1.1_A02
