"env","kk_strain_id","regime","fitness_gain","sd_s","n_s","env_means","fitness_gain_adj"
"SC37C","G02_a1.1_H02_1","asexual",-0.0366555549541273,0.0170712876922327,2,-0.0258046010275671,-0.0108509539265602
"SC37C","H05_a1.1_D12_1","asexual",-0.159153546439106,0.0236385033023362,2,-0.0258046010275671,-0.133348945411538
"SC37C","G03_a1.1_B12_1","asexual",-0.11678223921726,0.0233264394244319,2,-0.0258046010275671,-0.0909776381896929
"YPD","C03_a3_H11_1","sexual",-0.0234342290272291,0.00480710870330815,10,-0.04430225025945,0.0208680212322209
"YPD","B04_a1.1_A02_1","asexual",-0.0529786326320334,0.00627939490527268,10,-0.04430225025945,-0.0086763823725834
"YPD","A03_a1.1_A12_1","asexual",-0.100410649003043,0.0130331051403171,10,-0.04430225025945,-0.0561083987435925
"YPD","C04_a3_H02_1","sexual",-0.0295576010758833,0.00415957609008449,10,-0.04430225025945,0.0147446491835668
"YPD","B05_a1.1_G01_1","asexual",-0.0654150554057467,0.00654752822152285,10,-0.04430225025945,-0.0211128051462967
"YPD","A04_a3_G12_1","sexual",-0.0406193419075185,0.00634961030318129,10,-0.04430225025945,0.00368290835193152
"YPD","D02_a1.1_A05_1","asexual",-0.0563902713683379,0.00645890847174039,10,-0.04430225025945,-0.0120880211088879
"YPD","C02_a3_A03_1","sexual",-0.0470408292209113,0.00822303696278277,10,-0.04430225025945,-0.0027385789614613
"YPD","A06_a3_H07_1","sexual",-0.0434361890938762,0.00356791733156067,9,-0.04430225025945,0.000866061165573813
"YPD","D03_a3_B12_1","sexual",-0.0238503836948613,0.00824041357911491,9,-0.04430225025945,0.0204518665645887
"YPD","G03_a1.1_B12_1","asexual",-0.0499738786253981,0.00487953662996667,10,-0.04430225025945,-0.00567162836594813
"YPD","F04_a3_B01_1","sexual",-0.032709066109439,0.00645628915675475,10,-0.04430225025945,0.011593184150011
"YPD","E03_a3_H03_1","sexual",-0.0461586890006522,0.00929897654423521,10,-0.04430225025945,-0.00185643874120218
"YPD","D04_a1.1_H06_1","asexual",-0.0560036377522686,0.00599963516592103,10,-0.04430225025945,-0.0117013874928186
"YPD","G04_a3_H09_1","sexual",-0.0246166947828736,0.00626644944864792,10,-0.04430225025945,0.0196855554765764
"YPD","F06_a3_A11_1","sexual",-0.0250187772491399,0.00673222244767972,10,-0.04430225025945,0.0192834730103101
"YPD","E04_a3_G01_1","sexual",-0.0251222831700305,0.00866540597651699,10,-0.04430225025945,0.0191799670894196
"YPD","D05_a1.1_C12_1","asexual",-0.053681504711851,0.00514141319387425,10,-0.04430225025945,-0.00937925445240101
"YPD","H04_a3_A02_1","sexual",-0.0274448919897011,0.00923679664378573,10,-0.04430225025945,0.0168573582697489
"YPD","G02_a1.1_H02_1","asexual",-0.0399942042306802,0.00473453993667061,10,-0.04430225025945,0.00430804602876978
"YPD","F02_a1.1_A11_1","asexual",-0.0621507848261976,0.00632786113279107,10,-0.04430225025945,-0.0178485345667476
"YPD","D06_a1.1_H11_1","asexual",-0.0510857529602861,0.00760836142242012,10,-0.04430225025945,-0.00678350270083613
"YPD","H05_a1.1_D12_1","asexual",-0.0541827206355142,0.00496799742449488,10,-0.04430225025945,-0.00988047037606421
