"env","plate_block","X","well_id","well_id_96","well_id_96_no0","plate_id","F1_AP","F1_F1","F1_ID","F1","BLOCK_ID","PAR_ID","IS_ANC","kk_strain_id","regime","strain_id","parent","tot_1","ref_1","tot_2","ref_2","s_hat","plate_means","fitness_gain","unique_id","f1_unique_id","env_means","fitness_gain_adj"
"SC_0.2M_NaCl","3_4",1373,"N09","G05","G5","3","E08","B05","D04_B05",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_B05","D04",19793,9502,17149,12661,-0.111688665840695,NA,-0.111688665840695,"D04_a1.1_H06_1_G05","D04_a1.1_H06_1_G05",-0.115497523764393,0.00380885792369831
"SC_0.2M_NaCl","3_4",1374,"N11","G06","G6","3","E08","B06","D04_B06",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_B06","D04",19698,9214,17613,12327,-0.097585638133472,NA,-0.097585638133472,"D04_a1.1_H06_1_G06","D04_a1.1_H06_1_G06",-0.115497523764393,0.0179118856309213
"SC_0.2M_NaCl","3_4",1375,"N13","G07","G7","3","E08","B07","D04_B07",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_B07","D04",19727,9418,16917,12174,-0.103302723146917,NA,-0.103302723146917,"D04_a1.1_H06_1_G07","D04_a1.1_H06_1_G07",-0.115497523764393,0.0121948006174763
"SC_0.2M_NaCl","3_4",1376,"N15","G08","G8","3","E08","B08","D04_B08",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_B08","D04",19630,13259,16747,14564,-0.116493252874715,NA,-0.116493252874715,"D04_a1.1_H06_1_G08","D04_a1.1_H06_1_G08",-0.115497523764393,-0.000995729110321683
"SC_0.2M_NaCl","3_4",1381,"P01","H01","H1","3","A10","B01","G04_B01",1,4,"",NA,"G04_a3_H09_1","sexual","G04_B01","G04",19738,9539,19309,13459,-0.0900107384113124,NA,-0.0900107384113124,"G04_a3_H09_1_H01","G04_a3_H09_1_H01",-0.115497523764393,0.0254867853530809
"SC_0.2M_NaCl","3_4",1382,"P03","H02","H2","3","A10","B02","G04_B02",1,4,"",NA,"G04_a3_H09_1","sexual","G04_B02","G04",19636,10384,19627,15282,-0.114222349091548,NA,-0.114222349091548,"G04_a3_H09_1_H02","G04_a3_H09_1_H02",-0.115497523764393,0.00127517467284531
"SC_0.2M_NaCl","3_4",1383,"P05","H03","H3","3","A10","B03","G04_B03",1,4,"",NA,"G04_a3_H09_1","sexual","G04_B03","G04",19606,9381,19395,15268,-0.139435771889759,NA,-0.139435771889759,"G04_a3_H09_1_H03","G04_a3_H09_1_H03",-0.115497523764393,-0.0239382481253657
"SC_0.2M_NaCl","3_4",1384,"P07","H04","H4","3","A10","B04","G04_B04",1,4,"",NA,"G04_a3_H09_1","sexual","G04_B04","G04",19869,11421,18997,16148,-0.143330410837036,NA,-0.143330410837036,"G04_a3_H09_1_H04","G04_a3_H09_1_H04",-0.115497523764393,-0.0278328870726427
"SC_0.2M_NaCl","3_4",1385,"P09","H05","H5","3","A10","B05","G04_B05",1,4,"",NA,"G04_a3_H09_1","sexual","G04_B05","G04",19544,9787,17496,12534,-0.0923566068215005,NA,-0.0923566068215005,"G04_a3_H09_1_H05","G04_a3_H09_1_H05",-0.115497523764393,0.0231409169428928
"SC_0.2M_NaCl","3_4",1386,"P11","H06","H6","3","A10","B06","G04_B06",1,4,"",NA,"G04_a3_H09_1","sexual","G04_B06","G04",19667,9951,17955,13157,-0.0984855734473099,NA,-0.0984855734473099,"G04_a3_H09_1_H06","G04_a3_H09_1_H06",-0.115497523764393,0.0170119503170834
"SC_0.2M_NaCl","3_4",1387,"P13","H07","H7","3","A10","B07","G04_B07",1,4,"",NA,"G04_a3_H09_1","sexual","G04_B07","G04",19772,9382,19183,13148,-0.0880744646457348,NA,-0.0880744646457348,"G04_a3_H09_1_H07","G04_a3_H09_1_H07",-0.115497523764393,0.0274230591186585
"SC_0.2M_NaCl","3_4",1388,"P15","H08","H8","3","A10","B08","G04_B08",1,4,"",NA,"G04_a3_H09_1","sexual","G04_B08","G04",19661,8543,17553,11861,-0.0997647209181329,NA,-0.0997647209181329,"G04_a3_H09_1_H08","G04_a3_H09_1_H08",-0.115497523764393,0.0157328028462604
"SC_0.2M_NaCl","4_4",1393,"B02","A01","A1","4","A08","C01","C04_C01",1,4,"",NA,"C04_a3_H02_1","sexual","C04_C01","C04",19864,10703,19548,13880,-0.0740043900281057,NA,-0.0740043900281057,"C04_a3_H02_1_A01","C04_a3_H02_1_A01",-0.115497523764393,0.0414931337362876
"SC_0.2M_NaCl","4_4",1394,"B04","A02","A2","4","A08","C02","C04_C02",1,4,"",NA,"C04_a3_H02_1","sexual","C04_C02","C04",19921,13956,19667,18788,-0.221218828168706,NA,-0.221218828168706,"C04_a3_H02_1_A02","C04_a3_H02_1_A02",-0.115497523764393,-0.105721304404313
"SC_0.2M_NaCl","4_4",1395,"B06","A03","A3","4","A08","C03","C04_C03",1,4,"",NA,"C04_a3_H02_1","sexual","C04_C03","C04",19835,9573,19544,13927,-0.0977532805076216,NA,-0.0977532805076216,"C04_a3_H02_1_A03","C04_a3_H02_1_A03",-0.115497523764393,0.0177442432567717
"SC_0.2M_NaCl","4_4",1396,"B08","A04","A4","4","A08","C04","C04_C04",1,4,"",NA,"C04_a3_H02_1","sexual","C04_C04","C04",19835,12922,19465,16841,-0.123358893021923,NA,-0.123358893021923,"C04_a3_H02_1_A04","C04_a3_H02_1_A04",-0.115497523764393,-0.00786136925752969
