"kk_pop_id","env","fitness_gain_mu_pop","fitness_gain_sd_pop"
"a1.1_G01","YPD",0.0495813265837596,0.00216802552935926
"a1.1_G01","lowP",0.00278388585955901,0.00748373775787189
"a1.1_H01","SC30C",-0.00640685660005955,0.00723674092393246
"a1.1_H01","SC37C",0.046170483358957,0.0106443894888358
"a1.1_H01","SC_0.2M_NaCl",-0.0206543248753777,0.0150530931732089
"a1.1_H01","SC_pH7.3",0.101259702622439,0.0174378653502715
"a1.1_H01","YPD",0.0670942601215092,0.00432733493941973
"a1.1_H01","lowP",0.00704132713425166,0.0039836601104961
"a1.1_H02","SC30C",-0.0166274402437591,0.00992632242646962
"a1.1_H02","SC37C",0.0297802051332597,0.00383655820014695
"a1.1_H02","SC_0.2M_NaCl",-0.071685538192296,0.0044911159808969
"a1.1_H02","SC_pH7.3",0.0729436987839382,0.00413636583702896
"a1.1_H02","YPD",0.0725744285162417,0.00318246404854977
"a1.1_H02","lowP",0.000957541518918763,0.00795675069871559
"a1.1_H05","SC30C",-0.0203005941396583,0.0072195840532619
"a1.1_H05","SC37C",-0.0223993990589742,0.0046520450609708
"a1.1_H05","SC_0.2M_NaCl",-0.034102676953331,0.00991906870726653
"a1.1_H05","SC_pH7.3",0.0673977145716997,0.00566886063019909
"a1.1_H05","YPD",0.0543616783328269,0.00508131864025052
"a1.1_H05","lowP",-0.00111898055199604,0.00513637282847085
"a1.1_H06","SC30C",-0.0194226981105456,0.00107820066057551
"a1.1_H06","SC37C",0.0176321983209056,0.00407202867071477
"a1.1_H06","SC_0.2M_NaCl",-0.0363290619368515,0.00766258678534501
"a1.1_H06","SC_pH7.3",0.0582201884389884,0.00944022361960728
"a1.1_H06","YPD",0.0414629490200715,0.00578301936171522
"a1.1_H06","lowP",-0.00615338792993999,0.00441748601949808
"a1.1_H11","SC30C",-0.00376037760617143,0.00313910422527572
"a1.1_H11","SC37C",0.0515688167255573,0.00987348883164626
"a1.1_H11","SC_0.2M_NaCl",-0.0122229331703622,0.00405054117829089
"a1.1_H11","SC_pH7.3",0.109613409320934,0.00488382462633383
"a1.1_H11","YPD",0.0628382465267385,0.00612123140316513
"a1.1_H11","lowP",0.0220306861226972,0.0111659486135831
"a3_A02","SC30C",0.0115800341127888,0.00519125888186075
"a3_A02","SC37C",0.062865624590542,0.0031195708178782
"a3_A02","SC_0.2M_NaCl",0.0200122739823109,0.0256920097121523
"a3_A02","SC_pH7.3",0.100844089244251,0.00184932370610875
"a3_A02","YPD",0.0775317121823796,0.00634641523997067
"a3_A02","lowP",0.041920104170981,0.00621670829306465
"a3_A03","SC30C",0.00413609424524252,0.0057780475607482
"a3_A03","SC37C",0.0306642892322123,0.0167671475133876
"a3_A03","SC_0.2M_NaCl",0.0061959826308652,0.00932242613150829
"a3_A03","SC_pH7.3",0.0978364083282681,0.00803443438374463
"a3_A03","YPD",0.0792924746852203,0.00305460322307837
